Metodo,sizes,nroMatriz,tiempo
C,300,28,8194610
C,300,28,8214710
C,300,28,8212290
C,300,29,7945650
C,300,29,8259700
C,300,29,8152650
C,300,29,8172920
C,300,29,8179260
C,300,29,8201180
C,300,29,8202210
C,300,29,8119820
C,300,29,8280860
C,300,29,8289720
C,400,30,23822200
C,400,30,21516200
C,400,30,21671700
C,400,30,21415500
C,400,30,21429100
C,400,30,21406500
C,400,30,21444000
C,400,30,21571200
C,400,30,21370200
C,400,30,21460000
C,400,31,20901900
C,400,31,21453700
C,400,31,21429400
C,400,31,21227400
C,400,31,21283600
C,400,31,21270400
C,400,31,21482500
C,400,31,21213100
C,400,31,21413800
C,400,31,21450200
C,400,32,21093800
C,400,32,21408400
C,400,32,21283100
C,400,32,21350800
C,400,32,21415500
C,400,32,22015600
C,400,32,21501400
C,400,32,21326100
C,400,32,21478400
C,400,32,21339000
C,400,33,21000600
C,400,33,21278100
C,400,33,21467100
C,400,33,21270400
C,400,33,21246200
C,400,33,21400700
C,400,33,21265700
C,400,33,21397900
C,400,33,21320300
C,400,33,21525500
C,400,34,21029600
C,400,34,21413600
C,400,34,21369300
C,400,34,21214100
C,400,34,21479300
C,400,34,21299100
C,400,34,21458300
C,400,34,21251500
C,400,34,21319200
C,400,34,21413300
C,400,35,21028700
C,400,35,21336600
C,400,35,21236400
C,400,35,21436500
C,400,35,21264900
C,400,35,21395700
C,400,35,21281900
C,400,35,21328600
C,400,35,21485700
C,400,35,21369000
C,400,36,21084400
C,400,36,21175900
C,400,36,21305100
C,400,36,21200700
C,400,36,21470100
C,400,36,21753100
C,400,36,21208900
C,400,36,21339200
C,400,36,21242500
C,400,36,21505000
C,400,37,20897700
C,400,37,21350100
C,400,37,21343800
C,400,37,21367900
C,400,37,21326400
C,400,37,21415300
C,400,37,21360600
C,400,37,21322700
C,400,37,21731900
C,400,37,22303800
C,400,38,21046600
C,400,38,21372000
C,400,38,21236100
C,400,38,21449300
C,400,38,21381000
C,400,38,21307700
C,400,38,21393400
C,400,38,21396100
C,400,38,21447800
