Metodo,sizes,nroMatriz,tiempo
G,300,28,18452200
G,300,28,18441800
G,300,28,18430100
G,300,29,18548400
G,300,29,18528400
G,300,29,18454100
G,300,29,18500900
G,300,29,18437200
G,300,29,18453000
G,300,29,18691200
G,300,29,18502800
G,300,29,18417000
G,300,29,18448800
G,400,30,54051900
G,400,30,53867300
G,400,30,53942000
G,400,30,53859900
G,400,30,53906900
G,400,30,53842200
G,400,30,53967900
G,400,30,53923200
G,400,30,53842800
G,400,30,54150900
G,400,31,54054800
G,400,31,54109500
G,400,31,53885500
G,400,31,53942800
G,400,31,54003100
G,400,31,53927700
G,400,31,53881500
G,400,31,53857900
G,400,31,53863900
G,400,31,53853300
G,400,32,54273600
G,400,32,54081800
G,400,32,53936900
G,400,32,53840900
G,400,32,53878000
G,400,32,53939100
G,400,32,53810900
G,400,32,53841800
G,400,32,53881500
G,400,32,53949000
G,400,33,53892600
G,400,33,54129600
G,400,33,54077500
G,400,33,53855100
G,400,33,53932800
G,400,33,53871600
G,400,33,54042100
G,400,33,53857700
G,400,33,53874500
G,400,33,53989000
G,400,34,53941300
G,400,34,53955900
G,400,34,54207900
G,400,34,54288800
G,400,34,53881300
G,400,34,53800700
G,400,34,53863300
G,400,34,53848500
G,400,34,54188000
G,400,34,53946500
G,400,35,53969300
G,400,35,53879500
G,400,35,53952200
G,400,35,53939900
G,400,35,54293700
G,400,35,53890600
G,400,35,53904300
G,400,35,53955500
G,400,35,53841100
G,400,35,53854000
G,400,36,53973000
G,400,36,53999400
G,400,36,53904200
G,400,36,53973900
G,400,36,53862400
G,400,36,54261800
G,400,36,53955500
G,400,36,53821200
G,400,36,53903300
G,400,36,53864100
G,400,37,53979700
G,400,37,53965700
G,400,37,54188000
G,400,37,53869300
G,400,37,53864000
G,400,37,53992300
G,400,37,54277400
G,400,37,53914400
G,400,37,53871400
G,400,37,53862900
G,400,38,54031100
G,400,38,53818900
G,400,38,53832200
G,400,38,53861800
G,400,38,53923500
G,400,38,54072900
G,400,38,54169100
G,400,38,54318500
G,400,38,53924200
G,400,38,53932600
G,400,39,53939700
G,400,39,53879500
G,400,39,53841400
G,400,39,53933900
G,400,39,53917500
G,400,39,53864000
G,400,39,53944800
G,400,39,53854400
G,400,39,54435900
G,400,39,53886000
G,500,40,106439000
G,500,40,105424000
G,500,40,105366000
G,500,40,105430000
G,500,40,105876000
G,500,40,105288000
G,500,40,105379000
G,500,40,105358000
G,500,40,105545000
G,500,40,105431000
G,500,41,105900000
G,500,41,105484000
G,500,41,106897000
G,500,41,105370000
G,500,41,106267000
G,500,41,105434000
G,500,41,105507000
G,500,41,105363000
G,500,41,105441000
G,500,41,105225000
G,500,42,105404000
G,500,42,105368000
G,500,42,105417000
