CompPpal,MetodoEleccion,NroPersona,VerdaderosP,FalsosN,FalsosP
7,V,5,3,0,2
7,V,6,3,0,0
7,V,7,3,0,0
7,V,8,3,0,0
7,V,9,3,0,0
7,V,10,2,1,0
7,V,11,3,0,1
7,V,12,2,1,0
7,V,13,3,0,0
7,V,14,3,0,0
7,V,15,3,0,0
7,V,16,1,2,1
7,V,17,3,0,0
7,V,18,2,1,0
7,V,19,1,2,0
7,V,20,2,1,0
7,V,21,3,0,0
7,V,22,3,0,0
7,V,23,3,0,1
7,V,24,3,0,0
7,V,25,2,1,1
7,V,26,3,0,0
7,V,27,3,0,1
7,V,28,2,1,0
7,V,29,3,0,0
7,V,30,3,0,0
7,V,31,3,0,0
7,V,32,3,0,1
7,V,33,3,0,0
7,V,34,3,0,0
7,V,35,1,2,0
7,V,36,3,0,1
7,V,37,3,0,1
7,V,38,3,0,1
7,V,39,3,0,0
7,V,40,3,0,1
7,V,41,2,1,0
10,KNN,1,2,1,0
10,KNN,2,3,0,1
10,KNN,3,3,0,1
10,KNN,4,3,0,0
10,KNN,5,2,1,1
10,KNN,6,3,0,0
10,KNN,7,3,0,0
10,KNN,8,3,0,0
10,KNN,9,3,0,0
10,KNN,10,2,1,0
10,KNN,11,3,0,1
10,KNN,12,3,0,0
10,KNN,13,3,0,0
10,KNN,14,2,1,0
10,KNN,15,3,0,0
10,KNN,16,3,0,2
10,KNN,17,3,0,0
10,KNN,18,3,0,1
10,KNN,19,2,1,0
10,KNN,20,2,1,0
10,KNN,21,3,0,1
10,KNN,22,3,0,0
10,KNN,23,3,0,0
10,KNN,24,3,0,0
10,KNN,25,3,0,1
10,KNN,26,3,0,0
10,KNN,27,3,0,0
10,KNN,28,2,1,0
10,KNN,29,3,0,0
10,KNN,30,3,0,0
10,KNN,31,3,0,0
10,KNN,32,3,0,0
10,KNN,33,3,0,0
10,KNN,34,3,0,0
10,KNN,35,1,2,0
10,KNN,36,3,0,0
10,KNN,37,3,0,1
10,KNN,38,3,0,1
10,KNN,39,3,0,0
10,KNN,40,2,1,1
10,KNN,41,1,2,0
10,V,1,2,1,0
10,V,2,3,0,0
10,V,3,3,0,2
10,V,4,3,0,0
10,V,5,3,0,0
10,V,6,3,0,0
10,V,7,3,0,0
10,V,8,3,0,0
10,V,9,3,0,0
10,V,10,1,2,0
10,V,11,3,0,1
10,V,12,2,1,0
10,V,13,3,0,0
10,V,14,3,0,0
10,V,15,3,0,0
10,V,16,3,0,1
10,V,17,3,0,0
10,V,18,3,0,0
10,V,19,2,1,0
10,V,20,3,0,0
10,V,21,3,0,0
10,V,22,3,0,0
10,V,23,3,0,0
10,V,24,3,0,0
10,V,25,3,0,0
10,V,26,3,0,0
10,V,27,3,0,0
10,V,28,2,1,0
10,V,29,3,0,0
10,V,30,3,0,0
10,V,31,3,0,0
10,V,32,3,0,0
10,V,33,3,0,0
10,V,34,3,0,0
10,V,35,3,0,0
10,V,36,3,0,0
10,V,37,3,0,1
10,V,38,3,0,2
10,V,39,3,0,0
10,V,40,3,0,0
10,V,41,2,1,0
13,KNN,1,1,2,0
13,KNN,2,3,0,1
13,KNN,3,3,0,0
13,KNN,4,3,0,1
13,KNN,5,2,1,1
13,KNN,6,3,0,0
13,KNN,7,3,0,0
13,KNN,8,3,0,0
13,KNN,9,3,0,0
13,KNN,10,2,1,0
13,KNN,11,3,0,0
13,KNN,12,3,0,0
13,KNN,13,3,0,0
13,KNN,14,3,0,0
13,KNN,15,3,0,0
13,KNN,16,3,0,1
13,KNN,17,3,0,0
13,KNN,18,3,0,1
13,KNN,19,2,1,0
13,KNN,20,2,1,0
13,KNN,21,3,0,1
13,KNN,22,3,0,0
13,KNN,23,3,0,0
13,KNN,24,3,0,0
13,KNN,25,3,0,3
13,KNN,26,3,0,0
13,KNN,27,3,0,0
13,KNN,28,2,1,0
13,KNN,29,3,0,0
13,KNN,30,3,0,0
