CompPpal,MetodoEleccion,NroPersona,VerdaderosP,FalsosN,FalsosP
1,KNN,1,1,6,6
1,KNN,2,0,7,7
1,KNN,3,0,7,7
1,KNN,4,1,6,1
1,KNN,5,2,5,18
1,KNN,6,0,7,8
1,KNN,7,0,7,4
1,KNN,8,0,7,6
1,KNN,9,0,7,7
1,KNN,10,0,7,7
1,KNN,11,0,7,15
1,KNN,12,0,7,7
1,KNN,13,2,5,0
1,KNN,14,1,6,3
1,KNN,15,1,6,5
1,KNN,16,0,7,14
1,KNN,17,0,7,7
1,KNN,18,1,6,5
1,KNN,19,1,6,6
1,KNN,20,1,6,9
1,KNN,21,1,6,8
1,KNN,22,3,4,10
1,KNN,23,0,7,8
1,KNN,24,0,7,6
1,KNN,25,1,6,5
1,KNN,26,0,7,5
1,KNN,27,0,7,5
1,KNN,28,2,5,8
1,KNN,29,0,7,0
1,KNN,30,0,7,2
1,KNN,31,0,7,5
1,KNN,32,0,7,5
1,KNN,33,3,4,2
1,KNN,34,0,7,9
1,KNN,35,0,7,2
1,KNN,36,0,7,7
1,KNN,37,0,7,7
1,KNN,38,1,6,9
1,KNN,39,0,7,3
1,KNN,40,0,7,10
1,KNN,41,3,4,4
1,V,1,1,6,6
1,V,2,0,7,8
1,V,3,0,7,5
1,V,4,1,6,1
1,V,5,2,5,17
1,V,6,0,7,8
1,V,7,0,7,4
1,V,8,0,7,6
1,V,9,0,7,7
1,V,10,0,7,8
1,V,11,0,7,16
1,V,12,0,7,7
1,V,13,2,5,0
1,V,14,1,6,3
1,V,15,2,5,5
1,V,16,0,7,14
1,V,17,0,7,12
1,V,18,1,6,5
1,V,19,1,6,7
1,V,20,1,6,8
1,V,21,1,6,8
1,V,22,3,4,10
1,V,23,0,7,8
1,V,24,1,6,7
1,V,25,1,6,5
1,V,26,0,7,5
1,V,27,0,7,4
1,V,28,2,5,8
1,V,29,0,7,0
1,V,30,0,7,2
1,V,31,0,7,6
1,V,32,0,7,5
1,V,33,3,4,2
1,V,34,0,7,2
1,V,35,0,7,3
1,V,36,0,7,7
1,V,37,0,7,7
1,V,38,0,7,8
1,V,39,0,7,3
1,V,40,0,7,10
1,V,41,3,4,4
4,KNN,1,5,2,0
4,KNN,2,7,0,7
4,KNN,3,0,7,1
4,KNN,4,5,2,5
4,KNN,5,2,5,6
4,KNN,6,7,0,0
4,KNN,7,5,2,8
4,KNN,8,7,0,1
4,KNN,9,7,0,7
4,KNN,10,6,1,0
4,KNN,11,5,2,4
4,KNN,12,7,0,3
4,KNN,13,4,3,1
4,KNN,14,6,1,0
4,KNN,15,6,1,1
4,KNN,16,1,6,3
4,KNN,17,2,5,10
4,KNN,18,7,0,3
